Date,Team 1,Score,Team 2
5 April 2024,Al Feiha,1 - 1,Al-Riyadh SC
5 April 2024,Al-Khaleej Club,2 - 2,Al-Okhdood Club
5 April 2024,AL Hazem FC,0 - 3,Al Shabab
5 April 2024,Abha Club,1 - 0,Al Wahda
5 April 2024,AL Ettifaq FC,3 - 0,Abha Club
5 April 2024,Al Fateh FC,1 - 2,Al-Khaleej Club
5 April 2024,Al Taawon,0 - 1,Al-Ahli
5 April 2024,Al Ittihad,2 - 1,Al-Okhdood Club
5 April 2024,Al-Riyadh SC,1 - 3,Al Hilal
5 April 2024,Al-Tai FC,1 - 0,AL Hazem FC
5 April 2024,Al Nassr,1 - 3,Al Raed
5 April 2024,Al Shabab,2 - 3,Al Feiha
5 April 2024,Damac FC,1 - 0,Al Wahda
5 April 2024,Al-Ahli,1 - 1,Al Fateh FC
5 April 2024,Al-Khaleej Club,0 - 0,Al Shabab
5 April 2024,Damac FC,0 - 2,AL Ettifaq FC
5 April 2024,Abha Club,2 - 0,Al-Tai FC
5 April 2024,Al-Okhdood Club,1 - 2,Al-Riyadh SC
5 April 2024,Al Hilal,3 - 1,Al Ittihad
5 April 2024,Al Nassr,4 - 4,AL Hazem FC
5 April 2024,Al Raed,1 - 2,Al Feiha
5 April 2024,Al Wahda,3 - 3,Al Taawon
5 April 2024,AL Ettifaq FC,0 - 2,Al Hilal
5 April 2024,Al Ittihad,2 - 1,Al Wahda
5 April 2024,Al Feiha,3 - 2,Abha Club
5 April 2024,Al Shabab,2 - 3,Al Nassr
5 April 2024,AL Hazem FC,1 - 1,Al-Khaleej Club
5 April 2024,Al-Tai FC,1 - 4,Al-Ahli
5 April 2024,Al Fateh FC,1 - 1,Damac FC
5 April 2024,Al-Riyadh SC,1 - 1,Al Raed
5 April 2024,Al Taawon,3 - 1,Al-Okhdood Club
5 April 2024,Al Hilal,3 - 1,Al Raed
5 April 2024,Al Ittihad,2 - 0,Al-Riyadh SC
30 November 2023,Abha Club,0 - 6,Al-Ahli
30 November 2023,Al Ittihad,4 - 2,Al-Khaleej Club
30 November 2023,Al-Riyadh SC,0 - 0,AL Hazem FC
30 November 2023,Al-Ahli,0 - 0,Al Shabab
30 November 2023,Al Fateh FC,0 - 1,Al Feiha
30 November 2023,AL Hazem FC,0 - 9,Al Hilal
30 November 2023,Al Wahda,3 - 1,Al-Khaleej Club
30 November 2023,Damac FC,4 - 2,Abha Club
30 November 2023,AL Ettifaq FC,1 - 1,Al Ittihad
30 November 2023,Al Nassr,3 - 0,Al-Okhdood Club
30 November 2023,Al Taawon,1 - 2,Al-Riyadh SC
30 November 2023,Al-Tai FC,4 - 3,Al Raed
30 November 2023,Al-Okhdood Club,2 - 1,AL Hazem FC
30 November 2023,Al Feiha,0 - 0,AL Ettifaq FC
30 November 2023,Al Wahda,1 - 3,Al Nassr
30 November 2023,Al Hilal,2 - 0,Al Taawon
30 November 2023,Al Ittihad,4 - 2,Abha Club
30 November 2023,Al-Khaleej Club,3 - 1,Al-Tai FC
30 November 2023,Al Raed,2 - 1,Al Shabab
30 November 2023,Al-Riyadh SC,1 - 1,Al Fateh FC
30 November 2023,Damac FC,2 - 2,Al-Ahli
30 November 2023,Al-Ahli,3 - 0,Al-Riyadh SC
30 November 2023,AL Hazem FC,1 - 2,Al Wahda
30 November 2023,Al Taawon,0 - 0,Damac FC
